time/total_timesteps,time/fps,rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success_rate,train/n_updates,train/loss,train/learning_rate
182400,6088,,904,29,200.0,-249005.47729977,0.0,,,
182400,6088,,908,29,200.0,-249005.47729977,0.0,,,
182400,6087,,912,29,200.0,-249005.47729977,0.0,,,
187200,6091,0.9788285714285715,916,30,200.0,-248736.89595127,0.0,1845,743.6860961914062,0.0001
187200,6090,,920,30,200.0,-248736.89595127,0.0,,,
187200,6090,,924,30,200.0,-248736.89595127,0.0,,,
187200,6089,,928,30,200.0,-248736.89595127,0.0,,,
187200,6089,,932,30,200.0,-248736.89595127,0.0,,,
187200,6088,,936,30,200.0,-248736.89595127,0.0,,,
192000,6089,0.9782857142857143,940,31,200.0,-247419.27632426002,0.0,1895,791.1734497070313,0.0001
192000,6089,,944,31,200.0,-247419.27632426002,0.0,,,
192000,6088,,948,31,200.0,-247419.27632426002,0.0,,,
192000,6088,,952,31,200.0,-247419.27632426002,0.0,,,
192000,6087,,956,31,200.0,-247419.27632426002,0.0,,,
192000,6087,,960,31,200.0,-247419.27632426002,0.0,,,
196800,6089,0.9777428571428571,964,32,200.0,-246694.51280786,0.0,1945,757.6492797851563,0.0001
196800,6089,,968,32,200.0,-246694.51280786,0.0,,,
196800,6088,,972,32,200.0,-246694.51280786,0.0,,,
196800,6088,,976,32,200.0,-246694.51280786,0.0,,,
196800,6087,,980,32,200.0,-246694.51280786,0.0,,,
196800,6087,,984,32,200.0,-246694.51280786,0.0,,,
201600,6088,0.9772,988,33,200.0,-246445.65087131,0.0,1995,797.9737182617188,0.0001
201600,6088,,992,33,200.0,-246445.65087131,0.0,,,
201600,6087,,996,33,200.0,-246445.65087131,0.0,,,
201600,6087,,1000,33,200.0,-246445.65087131,0.0,,,
201600,6087,,1004,33,200.0,-246445.65087131,0.0,,,
201600,6086,,1008,33,200.0,-246445.65087131,0.0,,,
206400,6091,0.9766571428571429,1012,33,200.0,-247203.73856153002,0.0,2045,775.5447143554687,0.0001
206400,6090,,1016,33,200.0,-247203.73856153002,0.0,,,
206400,6090,,1020,33,200.0,-247203.73856153002,0.0,,,
206400,6089,,1024,33,200.0,-247203.73856153002,0.0,,,
206400,6089,,1028,33,200.0,-247203.73856153002,0.0,,,
206400,6088,,1032,33,200.0,-247203.73856153002,0.0,,,
211200,6090,0.9761142857142858,1036,34,200.0,-249795.54686039005,0.0,2095,830.897216796875,0.0001
211200,6089,,1040,34,200.0,-249795.54686039005,0.0,,,
211200,6089,,1044,34,200.0,-249795.54686039005,0.0,,,
211200,6088,,1048,34,200.0,-249795.54686039005,0.0,,,
211200,6088,,1052,34,200.0,-249795.54686039005,0.0,,,
211200,6088,,1056,34,200.0,-249795.54686039005,0.0,,,
216000,6091,0.9755714285714285,1060,35,200.0,-250774.53482671003,0.0,2145,779.4079223632813,0.0001
216000,6090,,1064,35,200.0,-250774.53482671003,0.0,,,
216000,6090,,1068,35,200.0,-250774.53482671003,0.0,,,
216000,6089,,1072,35,200.0,-250774.53482671003,0.0,,,
216000,6089,,1076,35,200.0,-250774.53482671003,0.0,,,
216000,6088,,1080,35,200.0,-250774.53482671003,0.0,,,
220800,6093,0.9750285714285715,1084,36,200.0,-250142.95192546002,0.0,2195,972.542333984375,0.0001
220800,6092,,1088,36,200.0,-250142.95192546002,0.0,,,
220800,6092,,1092,36,200.0,-250142.95192546002,0.0,,,
220800,6091,,1096,36,200.0,-250142.95192546002,0.0,,,
220800,6091,,1100,36,200.0,-250142.95192546002,0.0,,,
220800,6090,,1104,36,200.0,-250142.95192546002,0.0,,,
225600,6088,0.9744857142857142,1108,37,200.0,-248972.51956786,0.0,2245,795.8331909179688,0.0001
225600,6088,,1112,37,200.0,-248972.51956786,0.0,,,
225600,6087,,1116,37,200.0,-248972.51956786,0.0,,,
225600,6087,,1120,37,200.0,-248972.51956786,0.0,,,
225600,6086,,1124,37,200.0,-248972.51956786,0.0,,,
225600,6086,,1128,37,200.0,-248972.51956786,0.0,,,
230400,6084,0.9739428571428571,1132,37,200.0,-247313.740116,0.0,2295,1002.8936767578125,0.0001
230400,6084,,1136,37,200.0,-247313.740116,0.0,,,
230400,6083,,1140,37,200.0,-247313.740116,0.0,,,
230400,6083,,1144,37,200.0,-247313.740116,0.0,,,
230400,6083,,1148,37,200.0,-247313.740116,0.0,,,
230400,6082,,1152,37,200.0,-247313.740116,0.0,,,
235200,6081,0.9734,1156,38,200.0,-247175.84191857,0.0,2345,817.840771484375,0.0001
235200,6080,,1160,38,200.0,-247175.84191857,0.0,,,
235200,6080,,1164,38,200.0,-247175.84191857,0.0,,,
235200,6080,,1168,38,200.0,-247175.84191857,0.0,,,
235200,6079,,1172,38,200.0,-247175.84191857,0.0,,,
235200,6079,,1176,38,200.0,-247175.84191857,0.0,,,
240000,6078,0.9728571428571429,1180,39,200.0,-245809.44462944995,0.0,2395,812.3196655273438,0.0001
240000,6077,,1184,39,200.0,-245809.44462944995,0.0,,,
240000,6077,,1188,39,200.0,-245809.44462944995,0.0,,,
240000,6077,,1192,39,200.0,-245809.44462944995,0.0,,,
240000,6076,,1196,39,200.0,-245809.44462944995,0.0,,,
240000,6076,,1200,39,200.0,-245809.44462944995,0.0,,,
244800,6075,0.9723142857142858,1204,40,200.0,-247312.73669763,0.0,2445,835.656982421875,0.0001
